category,company,legend_company_type,note
New Brake concept,Point Zero,startup,
New Brake concept,LIQFRIC,startup,
New Brake concept,MOTORDISC,startup,
Brake Dust Absorption,Tallano,startup,
Brake Dust Absorption,Hengst Filtration,established,
Material Improvement — Disc,Oerlikon Metco (metco),established,
Material Improvement — Disc,Impact Coatings (impact),startup,
Material Improvement — Disc,Nitrex,established,
Material Improvement — Disc,Brembo,established,
Material Improvement — Disc,Laserline,established,
Material Improvement — Disc,MASU,established,
Material Improvement — Disc,Breyden,established,
Material Improvement — Disc,EMAG,established,
Material Improvement — Disc,TRUMPF,established,
Material Improvement — Disc,SIC,startup
Material Improvement — Disc,Surface transforming,startup,
Material Improvement — Pads,Tribotec,established,
Material Improvement — Pads,Brembo,established,
Material Improvement — Pads,LIQFRIC,startup,
Material Improvement — Pads,TRIBOL,startup,
Material Improvement — Pads,MASU,established,
Material Improvement — Pads,Akebono,established,
Enclosed Brake,OGAB,established,
Regenerative Braking,OrbisElectric,startup,
Regenerative Braking,Emotion Dynamics,startup,
Regenerative Braking,Elaphe,startup,
Regenerative Braking,DeepDrive,startup,
